City,Daylight,zipcode,HUC_NAME,savings,HUC_CODE,State,Longitude,HUC250K_ID,pop,Latitude,Timezone,GEOID10
Donie,,75838,Navasota,,12070103,TX,-96.22212,1961,666,31.476671,,75838
Elkhart,,75839,Lower Trinity-Tehuacana,,12030201,TX,-95.53225,1941,5069,31.627557,,75839
Fairfield,,75840,Lower Trinity-Tehuacana,,12030201,TX,-96.10808,1941,7076,31.763713,,75840
Grapeland,,75844,Upper Neches,,12020001,TX,-95.46315,1911,5718,31.505916,,75844
Groveton,,75845,Middle Neches,,12020002,TX,-95.07826,1969,3259,31.090648,,75845
Jewett,,75846,Navasota,,12070103,TX,-96.17433,1961,2718,31.346581,,75846
Kennard,,75847,Middle Neches,,12020002,TX,-95.15421,1969,1859,31.355453,,75847
Kirvin,,75848,Lower Trinity-Tehuacana,,12030201,TX,-96.32126,1941,92,31.83272,,75848
Latexo,,75849,Lower Trinity-Tehuacana,,12030201,TX,-95.4737,1941,75,31.398448,,75849
Leona,,75850,Lower Trinity-Kickapoo,,12030202,TX,-95.93312,1997,671,31.134863,,75850
Lovelady,,75851,Lower Trinity-Kickapoo,,12030202,TX,-95.46434,1997,5050,31.104197,,75851
Midway,,75852,Lower Trinity-Kickapoo,,12030202,TX,-95.71669,1997,3762,30.984335,,75852
Montalba,,75853,Lower Trinity-Tehuacana,,12030201,TX,-95.82974,1941,963,31.930882,,75853
Oakwood,,75855,Lower Trinity-Tehuacana,,12030201,TX,-95.85303,1941,2369,31.579572,,75855
Pennington,,75856,Lower Trinity-Kickapoo,,12030202,TX,-95.23475,1997,196,31.21349,,75856
Ratcliff,,75858,Middle Neches,,12020002,TX,-95.09184,1969,43,31.369811,,75858
Streetman,,75859,Lower Trinity-Tehuacana,,12030201,TX,-96.25435,1941,1923,31.889748,,75859
Teague,,75860,Navasota,,12070103,TX,-96.27068,1961,6644,31.625567,,75860
Tennessee Colony,,75861,Lower Trinity-Tehuacana,,12030201,TX,-95.86383000000001,1941,9017,31.829314,,75861
Trinity,,75862,Lower Trinity-Kickapoo,,12030202,TX,-95.33298,1997,10091,30.94481,,75862
Woodlake,,75865,,,,TX,-95.138794,,,31.105786,,
Rusk,,75875,,,,TX,-95.154008,,,31.806615,,
Tennessee Colony,,75880,,,,TX,-95.661964,,,31.794191,,
Palestine,,75882,,,,TX,-95.661964,,,31.794191,,
Tennessee Colony,,75884,,,,TX,-95.661964,,,31.794191,,
Tennessee Colony,,75886,,,,TX,-95.661964,,,31.794191,,
Lufkin,,75901,Middle Neches,,12020002,TX,-94.68667,1969,29036,31.330567,,75901
Lufkin,,75902,,,,TX,-94.761103,,,31.362315,,
Lufkin,,75903,,,,TX,-94.56759,,,31.276647,,
Lufkin,,75904,Middle Neches,,12020002,TX,-94.76295,1969,34004,31.339891,,75904
Lufkin,,75915,,,,TX,-94.577084,,,31.287257,,
Alto,,75925,Middle Neches,,12020002,TX,-95.05495,1969,4179,31.626263,,75925
Apple Springs,,75926,Middle Neches,,12020002,TX,-94.96448,1969,1070,31.243006,,75926
Bon Wier,,75928,Lower Sabine,,12010005,TX,-93.68535,2268,1411,30.680344,,75928
Broaddus,,75929,Lower Angelina,,12020005,TX,-94.17675,1954,1599,31.242362,,75929
Bronson,,75930,Lower Angelina,,12020005,TX,-94.02062,1954,2023,31.340381999999998,,75930
Brookeland,,75931,Lower Angelina,,12020005,TX,-93.99031,1954,2631,31.109064,,75931
Burkeville,,75932,Lower Sabine,,12010005,TX,-93.61936,2268,1437,31.067439,,75932
Call,,75933,Lower Sabine,,12010005,TX,-93.81112,2268,1599,30.580648,,75933
Camden,,75934,Middle Neches,,12020002,TX,-94.7312,1969,99,30.907239,,75934
Center,,75935,Toledo Bend Reservoir,,12010004,TX,-94.18997,1937,13685,31.769105,,75935
Chester,,75936,Middle Neches,,12020002,TX,-94.58376,1969,889,30.942336,,75936
Chireno,,75937,Lower Angelina,,12020005,TX,-94.37459,1954,994,31.467506,,75937
Colmesneil,,75938,Lower Neches,,12020003,TX,-94.35108,2270,2608,30.916106,,75938
Corrigan,,75939,Middle Neches,,12020002,TX,-94.7994,1969,3992,30.998982,,75939
Diboll,,75941,Middle Neches,,12020002,TX,-94.77725,1969,9105,31.195633,,75941
Doucette,,75942,Village,,12020006,TX,-94.40497,2034,115,30.819095,,75942
